업체명,전화번호,주소,위도,경도,지역,키워드
세현포크엘,02-2631-3284,서울 영등포구 버드나루로 50,37.52317532385731,126.91112932889745,서울,굴삭기 부품
DHI부품센터,02-2672-4079,서울 영등포구 버드나루로 37,37.521955580154945,126.91141358245547,서울,중장비 부품
두산지게차부품,02-2637-2242,서울 영등포구 버드나루로 66,37.524343264867206,126.91025800208557,서울,중장비 부품
두산지게차부품 성심센터,02-2632-2632,서울 영등포구 영등포로53길 36-6,37.521200979982495,126.90961584154863,서울,중장비 부품
제이엠중기부품센터,02-2038-0008,서울 금천구 벚꽃로 298,37.48143872782394,126.88387214789113,서울,중장비 부품
신대우부품,02-2671-4040,서울 영등포구 버드나루로 37,37.5219646156277,126.911447508591,서울,중장비 부품
현대코리아센타 부품대리점,02-2676-1337,서울 영등포구 영등포로53길 40,37.52162421665825,126.90930990102545,서울,중장비 부품
현대건설기계 부품대리점 현대쎈타,02-2678-4938,서울 영등포구 버드나루로 70,37.524688264921814,126.91014785579105,서울,중장비 부품
헤비프라임,02-3667-5002,서울 영등포구 버드나루로 64,37.52419294276255,126.91044936524492,서울,중장비 부품
현대건설장비 현대종합센타,02-2636-5555,서울 영등포구 버드나루로 56,37.5234661521194,126.910869927684,서울,중장비 부품
한국건설기계정비협회,02-2675-7781,서울 금천구 가산디지털1로 2,37.46683374302409,126.88800034037189,서울,건설기계 정비
현대지게차부품센타,02-2633-6677,서울 영등포구 버드나루로 60,37.523805714304125,126.91071680428803,서울,지게차 부품
오성중장비부품,031-840-4203,경기 양주시 백석읍 부흥로 1090,37.800901910663,127.004959725433,경기,중장비 부품
양평중장비부품,031-773-1122,경기 양평군 양평읍 백운길 139,37.5033663969516,127.510960079122,경기,중장비 부품
원곡중장비부품,031-692-2351,경기 평택시 만세로 1474,37.0323504788132,127.125409716483,경기,중장비 부품
대우중장비 부품대리점,,경기 의정부시 태평로 141-1,37.7450601694522,127.050662810426,경기,중장비 부품
현대종합부품,031-528-9978,경기 남양주시 별내면 송산로 689,37.7002548283241,127.122813816927,경기,중장비 부품
볼보 건설기계 부품대리점 북부센타,031-845-2450,경기 의정부시 금오로 151,37.758552762131394,127.08167984534315,경기,중장비 부품
디벨론 수원부품센터,031-237-0030,경기 수원시 권선구 경수대로335번길 6-15,37.2574185017978,127.021882364201,경기,중장비 부품
두산산업차량 중앙부품센터,031-237-4974,경기 평택시 청북읍 청오로 405-37,37.03199411264651,126.9560435191387,경기,중장비 부품
볼보건설기계 지정부품대리점 중부부품센타,031-657-6426,경기 안성시 원곡면 만세로 1034,37.05231614129931,127.16214377851516,경기,중장비 부품
현대지게차 부품센터,031-647-6445,경기 평택시 청북읍 청북로 426,37.0692165029861,126.966816942223,경기,중장비 부품
디벨론 구리부품센터,031-567-0318,경기 구리시 한다리길 16,37.580776481884115,127.12775370207785,경기,중장비 부품
디벨론 안산부품센터,031-501-4548,경기 안산시 상록구 건지미길 14,37.30053970913439,126.90753453152765,경기,중장비 부품
구칠삼칠중장비 삽질닷넷,031-449-9737,경기 안양시 동안구 경수대로 917,37.39767602970969,126.93451988890914,경기,중장비 부품
현대중부센타,031-658-1477,경기 평택시 고덕면 동고2길 36,37.00546937736876,127.0477387308666,경기,중장비 부품
일산 중장비타이어수리,,경기 고양시 일산서구 탄중로 514,37.6896631057083,126.769550048242,경기,중장비 수리
신광중기,031-285-4702,경기 용인시 기흥구 신정로41번길 98-8,37.2811848983361,127.095391622635,경기,중장비 수리
합동건설기계정비,031-772-2552,경기 양평군 양평읍 황골길 3-22,37.485787171358,127.544611160273,경기,건설기계 정비
정원건설기계정비,031-533-5147,경기 가평군 상면 청군로 2126,37.84059608895959,127.28964012938053,경기,건설기계 정비
삼정건설기계 오산정비센터,1661-0464,경기 오산시 경기대로636번길 124,37.18784224514829,127.05513995749507,경기,건설기계 정비
두산인프라코어 지게차지정정비공장 성조물류,031-2637-9911,경기 시흥시 금화로 641-30,37.3998252909429,126.835005335917,경기,건설기계 정비
현대자동차블루핸즈 포천내촌현대상용서비스,031-534-6772,경기 포천시 내촌면 금강로 2008,37.7591881564858,127.221573221224,경기,건설기계 정비
화성지게차부품,031-354-7601,경기 화성시 만세구 팔탄면 마곡길 70-4,37.16891127743732,126.90527662197091,경기,지게차 부품
두산지게차부품 중앙부품센터,031-237-4974,경기 평택시 청북읍 청오로 405-37,37.03200042102,126.95604576334162,경기,지게차 부품
세종지게차부품상사,,경기 안양시 동안구 엘에스로 92,37.3715731383094,126.952962782486,경기,지게차 부품
피엔엘지게차,010-6700-8537,경기 화성시 만세구 팔탄면 석포로 22,37.1323463379457,126.841931760005,경기,지게차 수리
다함지게차,010-5035-7795,경기 광주시 초월읍 장담길 84,37.377020095321036,127.30486379899092,경기,지게차 수리
영도지게차,031-765-3357,경기 광주시 도척면 방등길 33-1,37.2771199005225,127.340069558622,경기,지게차 수리
지게차 클리닉,010-5835-8622,경기 평택시 평택5로34번길 77,36.9869077609363,127.11319044810779,경기,지게차 수리
두성물류기계,031-684-2915,경기 평택시 청북읍 현곡길 79-71,37.0452450669516,126.924949620075,경기,지게차 수리
코젠물류,031-857-0234,경기 양주시 은현면 화합로759번길 10-1,37.8694873328826,127.013437075794,경기,지게차 수리
